z_score,rvol,adx_threshold,tp_multiplier,final_pnl,win_rate,total_trades
2.5,2.0,20,2.0,19.21406309688591,43.67816091954023,174
3.0,2.0,25,1.5,16.847486558017835,39.20595533498759,202
2.5,2.0,20,1.5,16.506503832605475,42.12034383954155,174
2.5,2.0,20,1.0,15.889354308230864,42.285714285714285,174
3.0,2.0,25,2.0,15.494316021899678,39.45409429280397,202
3.0,2.0,25,1.0,15.345119095765554,40.34653465346535,202
3.0,2.5,25,1.5,15.151778186989517,38.759689922480625,194
3.0,2.5,25,2.0,13.771177030768484,39.01808785529715,194
3.0,2.5,25,1.0,13.416939063881316,39.948453608247426,194
2.5,2.5,20,2.0,13.003419990375136,42.10526315789473,152
2.5,2.5,25,1.5,12.85488547742419,36.62182361733931,332
2.5,2.5,20,1.5,12.578517783963648,40.46052631578947,152
2.5,3.0,20,2.0,12.565634204142867,42.4,125
3.0,2.0,20,2.0,12.410659413293871,45.67307692307692,104
2.5,2.5,25,2.0,12.36330138816652,37.987987987987985,332
3.0,2.0,20,1.5,12.333878431376917,44.71153846153847,104
2.5,2.5,20,1.0,11.763859580260146,40.32786885245901,152
2.5,3.0,20,1.5,11.762588414558252,40.8,125
2.5,2.5,25,1.0,11.58730914183019,37.5,332
2.5,3.0,20,1.0,11.412849100274386,41.199999999999996,125
3.0,3.0,25,1.5,11.406034741666872,37.17579250720461,174
3.0,2.0,20,1.0,11.219365036870357,46.15384615384615,104
2.5,3.0,25,1.5,10.928926610002236,36.597938144329895,288
2.5,3.0,25,2.0,10.847469768183842,37.65112262521589,288
2.5,2.0,25,2.0,10.678886524943891,38.250652741514365,382
3.0,3.0,25,2.0,10.55267355597887,37.46397694524496,174
3.0,2.5,20,1.5,9.765734075861843,43.36734693877551,98
3.0,2.5,20,2.0,9.748765558658192,44.38775510204081,98
3.0,2.0,30,1.5,9.31987269914488,36.70411985018727,266
3.0,3.0,25,1.0,9.202338238149025,38.2183908045977,174
3.0,2.5,20,1.0,9.013474545139687,44.89795918367347,98
3.5,3.0,25,2.0,8.91963272166609,38.88888888888889,54
3.0,2.0,30,2.0,8.914818409906957,36.96060037523452,266
3.5,3.0,25,1.5,8.703165864901962,38.88888888888889,54
2.5,3.0,25,1.0,8.612017817170994,36.986301369863014,288
2.5,2.0,25,1.5,8.45095628680545,36.964980544747085,382
3.5,2.5,25,2.0,8.402528697088258,38.18181818181819,55
3.5,2.5,25,1.5,8.186061840324129,38.18181818181819,55
2.5,2.0,25,1.0,8.051193619729517,37.85529715762274,382
3.0,2.0,30,1.0,7.825093275587761,38.43283582089552,266
3.5,2.0,25,2.0,6.652287241127425,36.84210526315789,57
3.5,2.0,25,1.5,6.435820384363296,36.84210526315789,57
3.0,3.0,20,2.0,6.104395665674446,42.073170731707314,82
3.0,2.5,30,1.5,5.875909153261773,36.27450980392157,254
3.0,3.0,20,1.5,5.748484066456115,40.853658536585364,82
3.5,3.0,25,1.0,5.599446220038104,39.81481481481482,54
3.0,2.5,30,1.0,5.346747856392113,37.96477495107632,254
3.5,2.5,25,1.0,5.257916118711165,40.0,55
3.0,3.0,20,1.0,5.059826829071298,42.68292682926829,82
3.0,2.5,30,2.0,4.835210601406388,36.54223968565815,254
3.5,2.0,25,1.0,4.093023633866451,38.59649122807017,57
3.5,3.0,30,2.0,3.721174427765561,34.45945945945946,74
3.5,3.0,30,1.5,3.4516895583965663,33.78378378378378,74
3.5,2.5,30,2.0,3.2040704031877283,34.0,75
3.5,2.5,30,1.5,2.9345855338187334,33.33333333333333,75
3.5,3.0,30,1.0,1.0927003385703955,35.13513513513514,74
3.5,2.0,30,2.0,1.0297620224852722,32.69230769230769,78
3.0,3.0,30,1.5,0.8697183965587669,34.91379310344828,231
3.5,2.0,30,1.5,0.7602771531162773,32.05128205128205,78
3.5,2.5,30,1.0,0.751170237243457,35.333333333333336,75
3.0,3.0,30,2.0,0.6242662838739648,35.20518358531318,231
4.0,2.0,20,2.0,0.0,0.0,0
4.0,2.0,20,1.5,0.0,0.0,0
4.0,2.0,20,1.0,0.0,0.0,0
4.0,2.5,20,1.5,0.0,0.0,0
4.0,2.5,20,2.0,0.0,0.0,0
4.0,2.5,20,1.0,0.0,0.0,0
4.0,3.0,20,1.0,0.0,0.0,0
4.0,3.0,20,2.0,0.0,0.0,0
4.0,3.0,20,1.5,0.0,0.0,0
3.0,3.0,30,1.0,-0.18932382803969006,36.55913978494624,231
4.0,3.0,25,1.0,-0.2701360952184473,41.66666666666667,6
4.0,2.5,25,1.0,-0.2701360952184473,41.66666666666667,6
4.0,2.0,25,1.0,-0.2701360952184473,41.66666666666667,6
4.0,3.0,25,1.5,-0.5004489857055461,33.33333333333333,6
4.0,2.5,25,1.5,-0.5004489857055461,33.33333333333333,6
4.0,2.0,25,1.5,-0.5004489857055461,33.33333333333333,6
3.5,2.0,30,1.0,-0.6220122722509416,34.61538461538461,78
4.0,2.5,25,2.0,-0.8657817631980578,33.33333333333333,6
4.0,3.0,25,2.0,-0.8657817631980578,33.33333333333333,6
4.0,2.0,25,2.0,-0.8657817631980578,33.33333333333333,6
4.0,2.5,30,1.0,-1.1168231292762698,38.88888888888889,9
4.0,3.0,30,1.0,-1.1168231292762698,38.88888888888889,9
4.0,2.0,30,1.0,-1.3251131539259546,40.0,10
2.5,2.5,30,1.0,-1.4498856168451084,36.56024716786818,476
4.0,2.5,30,1.5,-1.7897923809448884,27.77777777777778,9
4.0,3.0,30,1.5,-1.7897923809448884,27.77777777777778,9
4.0,2.5,30,2.0,-2.1694059027556563,27.77777777777778,9
4.0,3.0,30,2.0,-2.1694059027556563,27.77777777777778,9
4.0,2.0,30,1.5,-2.213859305686512,25.0,10
4.0,2.0,30,2.0,-2.59347282749728,25.0,10
2.5,2.5,30,1.5,-2.9301644472434134,34.85005170630817,476
2.5,2.5,30,2.0,-3.7248211023628386,36.041666666666664,476
3.5,2.5,20,1.0,-4.66105720338048,30.0,25
3.5,2.0,20,1.0,-4.66105720338048,30.0,25
3.5,3.0,20,1.0,-4.66105720338048,30.0,25
3.5,2.5,20,1.5,-4.923508366755854,28.000000000000004,25
3.5,3.0,20,1.5,-4.923508366755854,28.000000000000004,25
3.5,2.0,20,1.5,-4.923508366755854,28.000000000000004,25
3.5,2.5,20,2.0,-5.246263270257671,30.0,25
3.5,2.0,20,2.0,-5.246263270257671,30.0,25
3.5,3.0,20,2.0,-5.246263270257671,30.0,25
2.5,3.0,30,1.5,-9.348963688107588,34.5475910693302,419
2.5,3.0,30,1.0,-10.189388678785079,35.94847775175644,419
2.5,3.0,30,2.0,-10.355369636515576,35.46099290780142,419
2.5,2.0,30,1.0,-15.683521055102574,35.8974358974359,553
2.5,2.0,30,2.0,-17.005856314196393,35.30465949820788,553
2.5,2.0,30,1.5,-19.140190497657258,34.19182948490231,553
