z_score,rvol,adx_threshold,tp_multiplier,final_pnl,win_rate,total_trades
2.5,2.5,25,2.0,48.45511403719871,37.30569948186528,1158
2.5,2.5,30,2.0,47.39062157470268,37.4485596707819,1215
2.5,3.0,30,2.0,45.5753775615232,36.72316384180791,1062
2.5,2.5,25,1.5,43.75960640150652,37.44607420189819,1159
2.5,3.0,30,1.5,38.9578018173612,37.20712277413308,1067
2.5,2.0,25,2.0,38.93000180353255,36.81710213776722,1263
2.5,3.0,30,1.0,38.572646448258894,38.57677902621723,1068
2.5,2.0,25,1.5,37.773120578311605,37.07509881422925,1265
2.5,2.5,25,1.0,35.86428277663255,37.963761863675586,1159
2.5,2.0,30,2.0,35.833668110335324,36.8575624082232,1362
2.5,3.0,25,1.5,34.115492027173644,36.7112810707457,1046
3.5,3.0,30,2.0,33.740286649660646,36.38253638253639,481
2.5,2.5,30,1.5,32.89783461260488,37.725040916530276,1222
2.5,3.0,25,2.0,32.27016510690406,36.17224880382775,1045
3.5,2.5,30,2.0,32.10508323023018,36.28865979381443,485
3.5,2.0,30,2.0,31.566253357220717,36.34496919917864,487
2.5,3.0,25,1.0,30.525268771239297,37.380497131931165,1046
4.0,2.0,30,1.5,29.661361372891704,36.775818639798494,397
4.0,2.5,30,1.5,29.661361372891704,36.775818639798494,397
4.0,3.0,30,1.5,29.661361372891704,36.775818639798494,397
4.0,3.0,30,2.0,29.32022858548001,36.775818639798494,397
4.0,2.5,30,2.0,29.32022858548001,36.775818639798494,397
4.0,2.0,30,2.0,29.32022858548001,36.775818639798494,397
4.0,2.5,30,1.0,29.276081989462043,36.775818639798494,397
4.0,3.0,30,1.0,29.276081989462043,36.775818639798494,397
4.0,2.0,30,1.0,29.276081989462043,36.775818639798494,397
2.5,2.5,30,1.0,29.08356074057346,38.6437908496732,1224
2.5,2.0,30,1.5,26.009611060444456,37.15328467153285,1370
3.5,3.0,30,1.0,25.348062971012723,36.7983367983368,481
2.5,2.0,25,1.0,24.48316630743983,37.23320158102767,1265
3.5,2.5,30,1.0,24.12063678624105,36.70103092783505,485
3.5,3.0,30,1.5,23.59201529717565,36.38253638253639,481
3.5,2.0,30,1.0,23.254186473804054,36.55030800821355,487
3.5,2.5,30,1.5,22.182712071335203,36.28865979381443,485
3.5,2.0,30,1.5,21.72956754402219,36.34496919917864,487
2.5,2.0,30,1.0,17.328792636748815,37.48180494905386,1374
4.0,2.0,25,1.5,14.807052017735742,34.306569343065696,548
4.0,2.0,25,2.0,14.807052017735742,34.306569343065696,548
4.0,2.0,25,1.0,14.807052017735742,34.306569343065696,548
4.0,2.5,25,1.5,14.807052017735742,34.306569343065696,548
4.0,2.5,25,1.0,14.807052017735742,34.306569343065696,548
4.0,2.5,25,2.0,14.807052017735742,34.306569343065696,548
4.0,3.0,25,1.0,14.807052017735742,34.306569343065696,548
4.0,3.0,25,2.0,14.807052017735742,34.306569343065696,548
4.0,3.0,25,1.5,14.807052017735742,34.306569343065696,548
3.5,3.0,25,2.0,13.704313814681285,34.039087947882734,614
3.5,2.5,25,2.0,12.875177441267638,34.090909090909086,616
3.5,3.0,25,1.0,12.82858623947675,34.527687296416936,614
3.5,2.0,25,2.0,12.336347568258176,34.14239482200647,618
3.5,2.5,25,1.0,12.225350059653124,34.57792207792208,616
3.5,2.0,25,1.0,11.358899747216128,34.46601941747573,618
3.5,3.0,25,1.5,11.008364754748882,34.20195439739413,614
3.5,2.5,25,1.5,10.405128574925257,34.25324675324675,616
3.5,2.0,25,1.5,9.951984047612243,34.3042071197411,618
3.0,2.5,30,1.0,8.684149381412908,35.887611749680715,783
3.0,2.0,30,1.0,6.092324481395906,35.828220858895705,815
3.0,2.5,30,2.0,1.9350357400042952,34.654731457800516,782
3.0,2.5,30,1.5,0.29382929958960347,34.654731457800516,782
